txn_id,from_account,to_account,amount,timestamp,txn_type,channel,location,kyc_risk,company,transaction_count,total_amount,avg_amount,std_amount,txn_type_encoded,channel_encoded,location_encoded,company_encoded,fraud_probability,predicted_fraud
T1,A0836,A0602,298014.47,2025-02-23T02:35:00,PAYMENT,UPI,Mumbai,0.31,LMN Ltd,9,1248140.57,138682.28555555557,84701.04184539395,1,4,4,2,1.0,1
T2,A0570,A1206,201652.72,2025-02-22T03:21:00,DEPOSIT,NEFT,Bangalore,0.31,ABC Corp,8,802076.38,100259.5475,79272.395113718,0,2,0,1,1.0,1
T3,A1089,A0129,40176.85,2025-05-08T01:49:00,WITHDRAWAL,RTGS,Hyderabad,0.01,LMN Ltd,9,1424178.54,158242.06,87198.4378060291,3,3,3,2,1.0,1
T4,A0549,A1428,285416.28,2025-03-09T19:16:00,TRANSFER,CASH,Mumbai,0.52,XYZ Pvt Ltd,6,855889.78,142648.29666666666,110057.09963095062,2,0,4,3,1.0,1
T5,A0909,A1415,250885.45,2025-03-07T08:47:00,PAYMENT,NEFT,Delhi,0.6,-,7,1016160.31,145165.75857142857,71091.20092031185,1,2,2,0,1.0,1
T6,A1337,A0488,220556.02,2025-02-13T22:55:00,WITHDRAWAL,IMPS,Bangalore,0.25,ABC Corp,12,1805938.0799999998,150494.84,94360.34868657384,3,1,0,1,1.0,1
T7,A0522,A0846,154633.83,2025-05-10T13:30:00,TRANSFER,CASH,Chennai,0.27,XYZ Pvt Ltd,8,1142648.45,142831.05625,89959.71849224519,2,0,1,3,1.0,1
T8,A1465,A0535,245202.22,2025-03-23T02:56:00,DEPOSIT,IMPS,Bangalore,0.88,LMN Ltd,6,1350098.45,225016.40833333333,71218.21149584351,0,1,0,2,1.0,1
T9,A1062,A1189,2436.26,2025-04-29T18:54:00,TRANSFER,CASH,Mumbai,0.67,-,8,1146316.54,143289.5675,113224.89099610457,2,0,4,0,1.0,1
T10,A1061,A0647,119342.39,2025-01-21T11:32:00,WITHDRAWAL,IMPS,Bangalore,0.28,LMN Ltd,9,1084263.71,120473.74555555555,85590.19807151871,3,1,0,2,1.0,1
T12,A0759,A0899,220959.3,2025-02-15T10:58:00,PAYMENT,NEFT,Hyderabad,0.42,LMN Ltd,5,926680.81,185336.162,56040.486342887576,1,2,3,2,1.0,1
T13,A0418,A0338,198055.91,2025-02-14T16:29:00,PAYMENT,UPI,Bangalore,0.49,XYZ Pvt Ltd,8,1078275.02,134784.3775,91902.61320709667,1,4,0,3,1.0,1
T14,A0476,A0718,67583.42,2025-03-01T22:19:00,WITHDRAWAL,CASH,Bangalore,0.4,XYZ Pvt Ltd,5,942153.3400000001,188430.668,77576.2799734205,3,0,0,3,1.0,1
T15,A0657,A1390,12340.9,2025-01-26T22:41:00,WITHDRAWAL,IMPS,Delhi,0.32,-,7,1127358.79,161051.2557142857,94041.94938461769,3,1,2,0,1.0,1
