txn_id,from_account,to_account,amount,timestamp,txn_type,channel,location,kyc_risk,company
T1,A0836,A0602,298014.47,2025-02-23T02:35:00,PAYMENT,UPI,Mumbai,0.31,LMN Ltd
T2,A0570,A1206,201652.72,2025-02-22T03:21:00,DEPOSIT,NEFT,Bangalore,0.31,ABC Corp
T3,A1089,A0129,40176.85,2025-05-08T01:49:00,WITHDRAWAL,RTGS,Hyderabad,0.01,LMN Ltd
T4,A0549,A1428,285416.28,2025-03-09T19:16:00,TRANSFER,CASH,Mumbai,0.52,XYZ Pvt Ltd
T5,A0909,A1415,250885.45,2025-03-07T08:47:00,PAYMENT,NEFT,Delhi,0.6,-
T6,A1337,A0488,220556.02,2025-02-13T22:55:00,WITHDRAWAL,IMPS,Bangalore,0.25,ABC Corp
T7,A0522,A0846,154633.83,2025-05-10T13:30:00,TRANSFER,CASH,Chennai,0.27,XYZ Pvt Ltd
T8,A1465,A0535,245202.22,2025-03-23T02:56:00,DEPOSIT,IMPS,Bangalore,0.88,LMN Ltd
T9,A1062,A1189,2436.26,2025-04-29T18:54:00,TRANSFER,CASH,Mumbai,0.67,-
T10,A1061,A0647,119342.39,2025-01-21T11:32:00,WITHDRAWAL,IMPS,Bangalore,0.28,LMN Ltd
T11,A0607,A0214,131273.49,2025-05-19T10:13:00,PAYMENT,UPI,Delhi,0.13,XYZ Pvt Ltd
T12,A0759,A0899,220959.3,2025-02-15T10:58:00,PAYMENT,NEFT,Hyderabad,0.42,LMN Ltd
T13,A0418,A0338,198055.91,2025-02-14T16:29:00,PAYMENT,UPI,Bangalore,0.49,XYZ Pvt Ltd
T14,A0476,A0718,67583.42,2025-03-01T22:19:00,WITHDRAWAL,CASH,Bangalore,0.4,XYZ Pvt Ltd
T15,A0657,A1390,12340.9,2025-01-26T22:41:00,WITHDRAWAL,IMPS,Delhi,0.32,-
T16,A0868,A1129,221437.04,2025-05-14T14:50:00,PAYMENT,RTGS,Mumbai,0.23,XYZ Pvt Ltd
T17,A1074,A1467,22263.56,2025-03-06T05:25:00,PAYMENT,UPI,Hyderabad,0.22,ABC Corp
T18,A1456,A0411,252842.88,2025-01-14T13:18:00,TRANSFER,RTGS,Mumbai,0.98,-
T19,A0959,A1144,215793.79,2025-04-14T04:34:00,TRANSFER,RTGS,Hyderabad,0.1,-
T20,A0259,A1112,154473.67,2025-01-03T08:50:00,DEPOSIT,UPI,Bangalore,0.41,-
T21,A1077,A0180,250801.36,2025-04-04T20:41:00,TRANSFER,UPI,Delhi,0.75,XYZ Pvt Ltd
T22,A0400,A0852,22442.43,2025-03-20T02:38:00,PAYMENT,NEFT,Delhi,0.05,ABC Corp
T23,A1269,A0539,295244.47,2025-05-18T08:33:00,DEPOSIT,RTGS,Mumbai,0.38,-
T24,A0231,A0215,91072.42,2025-04-14T12:55:00,PAYMENT,RTGS,Bangalore,0.61,XYZ Pvt Ltd
T25,A1100,A0905,85352.64,2025-03-24T03:57:00,WITHDRAWAL,RTGS,Delhi,0.74,-
T26,A0537,A0556,268476.2,2025-01-21T00:28:00,PAYMENT,RTGS,Mumbai,0.86,-
T27,A0500,A1241,106421.45,2025-01-22T13:33:00,TRANSFER,IMPS,Mumbai,0.17,-
T28,A0986,A1451,288259.82,2025-05-16T09:34:00,DEPOSIT,RTGS,Hyderabad,0.13,-
T29,A0805,A1035,171413.22,2025-04-13T10:28:00,DEPOSIT,NEFT,Delhi,0.05,-
T30,A0304,A1236,194691.23,2025-04-30T09:31:00,PAYMENT,RTGS,Chennai,0.7,-
T31,A0781,A0553,111022.69,2025-04-17T00:05:00,DEPOSIT,UPI,Hyderabad,0.9,XYZ Pvt Ltd
T32,A0855,A0174,195672.06,2025-04-02T10:15:00,DEPOSIT,RTGS,Mumbai,0.27,-
T33,A1178,A0050,140124.81,2025-05-14T02:01:00,WITHDRAWAL,CASH,Chennai,0.51,-
T34,A0926,A1034,60019.9,2025-05-01T18:44:00,PAYMENT,UPI,Bangalore,0.24,ABC Corp
T35,A0195,A1488,154825.16,2025-02-03T05:16:00,WITHDRAWAL,NEFT,Delhi,0.36,XYZ Pvt Ltd
T36,A0238,A1032,84595.76,2025-04-11T00:30:00,PAYMENT,IMPS,Hyderabad,0.49,LMN Ltd
T37,A1150,A1203,160339.2,2025-03-18T02:12:00,PAYMENT,UPI,Bangalore,0.87,ABC Corp
T38,A0166,A0504,28139.02,2025-01-31T14:10:00,TRANSFER,NEFT,Mumbai,0.91,ABC Corp
T39,A0711,A0317,51179.05,2025-02-13T14:56:00,PAYMENT,RTGS,Delhi,0.52,LMN Ltd
T40,A1354,A0912,233965.55,2025-05-01T22:23:00,DEPOSIT,UPI,Bangalore,0.89,LMN Ltd
T41,A1302,A1039,292917.78,2025-03-15T11:46:00,DEPOSIT,IMPS,Mumbai,0.7,-
T42,A0356,A1176,239394.58,2025-02-24T17:54:00,TRANSFER,IMPS,Chennai,0.01,LMN Ltd
T43,A0408,A0275,4692.35,2025-02-13T17:53:00,PAYMENT,IMPS,Chennai,0.94,ABC Corp
T44,A0410,A1154,136784.34,2025-05-07T16:02:00,DEPOSIT,NEFT,Bangalore,0.38,ABC Corp
T45,A0880,A0871,46414.11,2025-03-11T08:45:00,PAYMENT,IMPS,Bangalore,0.26,-
T46,A0560,A0025,221060.97,2025-01-14T23:35:00,DEPOSIT,CASH,Delhi,0.58,XYZ Pvt Ltd
T47,A0993,A1249,23040.57,2025-04-22T20:34:00,PAYMENT,CASH,Hyderabad,0.1,LMN Ltd
T48,A1476,A0025,175423.0,2025-01-27T07:16:00,TRANSFER,IMPS,Bangalore,0.18,LMN Ltd
T49,A0538,A1430,243850.22,2025-01-22T05:32:00,WITHDRAWAL,NEFT,Bangalore,0.37,XYZ Pvt Ltd
T50,A1357,A0299,94060.61,2025-02-21T06:23:00,DEPOSIT,IMPS,Hyderabad,0.31,-
T51,A1051,A0892,223055.08,2025-02-09T05:52:00,PAYMENT,NEFT,Chennai,0.48,XYZ Pvt Ltd
T52,A0128,A0092,225381.37,2025-01-30T09:31:00,PAYMENT,CASH,Delhi,0.53,-
T53,A0331,A0950,160550.53,2025-04-07T06:48:00,WITHDRAWAL,NEFT,Hyderabad,0.41,LMN Ltd
T54,A0351,A1473,253706.91,2025-03-30T23:22:00,DEPOSIT,CASH,Mumbai,0.44,ABC Corp
T55,A0549,A0763,225414.36,2025-04-18T09:36:00,PAYMENT,RTGS,Bangalore,0.69,LMN Ltd
T56,A0612,A0303,98789.22,2025-04-20T16:26:00,DEPOSIT,IMPS,Chennai,0.1,XYZ Pvt Ltd
T57,A0675,A0462,15614.52,2025-05-07T19:11:00,TRANSFER,CASH,Mumbai,0.44,LMN Ltd
T58,A0403,A1209,175369.23,2025-04-19T14:48:00,TRANSFER,IMPS,Bangalore,0.69,ABC Corp
T59,A0414,A1214,148264.91,2025-05-09T19:55:00,WITHDRAWAL,UPI,Hyderabad,0.21,XYZ Pvt Ltd
T60,A1449,A0302,21152.61,2025-05-13T10:56:00,TRANSFER,RTGS,Bangalore,0.9,ABC Corp
T61,A0225,A0286,203687.48,2025-03-21T11:59:00,TRANSFER,CASH,Hyderabad,0.54,LMN Ltd
T62,A1193,A0431,196498.88,2025-01-01T12:52:00,DEPOSIT,CASH,Chennai,0.25,LMN Ltd
T63,A0183,A0175,108692.05,2025-01-16T06:21:00,TRANSFER,NEFT,Delhi,0.55,LMN Ltd
T64,A0986,A0834,217894.84,2025-03-27T00:13:00,WITHDRAWAL,RTGS,Mumbai,0.34,XYZ Pvt Ltd
T65,A0789,A0608,236051.68,2025-02-06T07:00:00,WITHDRAWAL,NEFT,Hyderabad,0.28,ABC Corp
T66,A0147,A1049,110937.96,2025-01-23T15:34:00,PAYMENT,UPI,Chennai,0.91,XYZ Pvt Ltd
T67,A0599,A0434,196033.45,2025-02-04T22:53:00,WITHDRAWAL,CASH,Delhi,0.59,-
T68,A0254,A1326,212401.97,2025-04-05T00:38:00,DEPOSIT,RTGS,Bangalore,0.09,ABC Corp
T69,A0693,A1072,236730.35,2025-03-15T19:09:00,WITHDRAWAL,UPI,Chennai,0.47,-
T70,A1206,A0404,2339.4,2025-05-06T02:07:00,PAYMENT,UPI,Hyderabad,0.49,LMN Ltd
T71,A0174,A0188,294675.48,2025-03-11T23:22:00,DEPOSIT,IMPS,Bangalore,0.84,XYZ Pvt Ltd
T72,A0831,A0974,271083.21,2025-04-27T15:08:00,PAYMENT,RTGS,Chennai,0.47,-
T73,A0244,A0561,295518.76,2025-04-23T11:14:00,PAYMENT,IMPS,Delhi,0.68,-
T74,A0146,A0854,66697.87,2025-03-31T01:43:00,WITHDRAWAL,CASH,Hyderabad,0.94,XYZ Pvt Ltd
T75,A0932,A1414,272655.46,2025-05-09T22:44:00,DEPOSIT,CASH,Bangalore,0.21,ABC Corp
T76,A0936,A1439,99233.27,2025-05-12T07:44:00,TRANSFER,UPI,Delhi,0.09,XYZ Pvt Ltd
T77,A0777,A0780,153024.23,2025-01-06T05:01:00,PAYMENT,IMPS,Mumbai,0.09,ABC Corp
T78,A0254,A0172,125388.65,2025-05-11T23:05:00,TRANSFER,UPI,Hyderabad,0.46,LMN Ltd
T79,A1094,A0010,272192.6,2025-01-10T20:39:00,TRANSFER,NEFT,Mumbai,0.48,XYZ Pvt Ltd
T80,A1237,A0918,210268.94,2025-03-19T01:16:00,TRANSFER,CASH,Bangalore,0.2,-
T81,A1390,A1342,193698.8,2025-01-27T17:21:00,TRANSFER,RTGS,Hyderabad,0.3,-
T82,A0364,A0501,256257.64,2025-04-17T09:00:00,DEPOSIT,IMPS,Chennai,0.02,LMN Ltd
T83,A0137,A1245,258221.93,2025-02-26T16:25:00,TRANSFER,RTGS,Hyderabad,0.96,XYZ Pvt Ltd
T84,A0210,A1292,137061.87,2025-04-22T11:51:00,PAYMENT,RTGS,Bangalore,0.9,XYZ Pvt Ltd
T85,A0600,A0667,121379.73,2025-02-10T15:25:00,PAYMENT,IMPS,Bangalore,0.67,LMN Ltd
T86,A1341,A1236,272799.29,2025-04-02T02:04:00,WITHDRAWAL,IMPS,Mumbai,0.32,-
T87,A0579,A0235,62823.99,2025-04-16T16:16:00,PAYMENT,UPI,Bangalore,0.33,-
T88,A0569,A1311,282362.31,2025-01-18T12:40:00,WITHDRAWAL,UPI,Bangalore,0.07,ABC Corp
T89,A1246,A1048,56732.92,2025-02-20T07:40:00,WITHDRAWAL,UPI,Hyderabad,0.87,XYZ Pvt Ltd
T90,A1059,A1033,289695.27,2025-01-16T02:43:00,DEPOSIT,UPI,Chennai,0.34,-
T91,A0930,A0406,95381.44,2025-01-19T04:32:00,DEPOSIT,CASH,Bangalore,0.13,ABC Corp
T92,A1349,A1124,285022.97,2025-01-22T03:45:00,DEPOSIT,UPI,Bangalore,0.51,LMN Ltd
T93,A0558,A0580,97704.19,2025-05-06T17:55:00,TRANSFER,IMPS,Delhi,0.21,LMN Ltd
T94,A1441,A1431,19243.86,2025-01-28T07:58:00,WITHDRAWAL,NEFT,Mumbai,0.12,ABC Corp
T95,A0911,A0148,53420.79,2025-05-07T05:04:00,TRANSFER,NEFT,Mumbai,0.88,-
T96,A0599,A0367,287402.5,2025-03-04T01:48:00,WITHDRAWAL,CASH,Hyderabad,0.28,XYZ Pvt Ltd
T97,A0689,A0981,250983.87,2025-01-24T17:17:00,DEPOSIT,NEFT,Chennai,0.72,ABC Corp
T98,A1146,A0774,52888.18,2025-01-03T08:13:00,TRANSFER,IMPS,Hyderabad,0.15,ABC Corp
T99,A1204,A1147,15975.31,2025-04-03T22:04:00,PAYMENT,NEFT,Delhi,0.25,LMN Ltd
T100,A1481,A0913,88078.02,2025-03-11T04:48:00,TRANSFER,UPI,Chennai,0.63,ABC Corp
T101,A1097,A1061,290889.22,2025-05-19T19:44:00,DEPOSIT,IMPS,Chennai,0.64,LMN Ltd
T102,A1223,A1022,122756.65,2025-04-20T19:24:00,TRANSFER,NEFT,Delhi,0.08,-
T103,A0157,A0664,221208.89,2025-04-07T08:33:00,TRANSFER,IMPS,Delhi,0.51,LMN Ltd
T104,A1082,A1385,293593.7,2025-02-04T08:03:00,DEPOSIT,RTGS,Hyderabad,0.76,ABC Corp
T105,A0796,A0230,181519.88,2025-04-04T23:34:00,WITHDRAWAL,IMPS,Chennai,0.06,XYZ Pvt Ltd
T106,A0330,A0124,2141.87,2025-03-09T06:48:00,TRANSFER,IMPS,Hyderabad,0.13,LMN Ltd
T107,A0907,A1407,62639.71,2025-01-07T00:41:00,WITHDRAWAL,RTGS,Delhi,0.61,LMN Ltd
T108,A1440,A0537,266971.29,2025-02-14T16:15:00,DEPOSIT,UPI,Mumbai,0.09,ABC Corp
T109,A1230,A1017,201367.1,2025-01-05T00:37:00,DEPOSIT,CASH,Chennai,0.32,-
T110,A1358,A1200,48692.48,2025-02-07T04:20:00,PAYMENT,RTGS,Bangalore,0.92,-
T111,A0024,A0717,258492.3,2025-04-27T00:33:00,DEPOSIT,UPI,Hyderabad,0.79,LMN Ltd
T112,A1290,A0801,228908.2,2025-02-20T08:33:00,DEPOSIT,CASH,Mumbai,0.58,XYZ Pvt Ltd
